5031922AEROLEP                                     aer.inhal.c/adap.x 250ds00047022NNAustral         00016676420220606002060074620107798160690096025010SNN00
9926108RENNIE                                      comp.x 96               00000000NNBayer Consumer  00018380020220607011006542610807793640125822009640NNN00
3111681SCHERIDERM                                  cr.x 20 g               00000000NNBayer Consumer  00007970020220607002026541014807795320018813000110SNN00
9956195SUPRADYN                                    comp.laqueados x 30     00000000NNBayer Consumer  00013450020220607001006545619507793640992141003010NNN00
9956196SUPRADYN                                    comp.laqueados x 60     00000000NNBayer Consumer  00023330020220607001006545619607793640992158006030NNN00
9956341SUPRADYN EFERVESCENTE                       Efer.comp.x 10          00000000NNBayer Consumer  00008440020220607001006545634107793640992189001010NNN00
9956342SUPRADYN EFERVESCENTE                       Efer.comp.x 30          00000000NNBayer Consumer  00020220020220607001006545634207793640992172003030NNN00
9959867SUPRADYN EFERVESCENTE                       TAEF TUR 3x10           00000000NNBayer Consumer  0002022002022060700100654598670             003010NNN00
3933721SUPRADYN FORTE                              Efer.comp.x 10 Nar.s/az.00000000NNBayer Consumer  00011140020220607002026542591107793640058304001010SNN00
3933722SUPRADYN FORTE                              Efer.comp.x 30 Nar.s/az.00000000NNBayer Consumer  00026720020220607002026542591207793640058311003030SNN00
9959868SUPRADYN FORTE                              TAEF TUR 3 x 10         00000000NNBayer Consumer  0002672002022060700200654598680             003010NNN00
4571361SUPRADYN FORTE                              grag.x 30               00000000NNBayer Consumer  00018180020220607002026542591007793640010814003010SNN00
4571362SUPRADYN FORTE                              grag.x 60               00000000NNBayer Consumer  00032540020220607002026545387307793640004707006030NNN00
9954752SUPRADYN GUMMIES                            gomitas x 25            00000000NNBayer Consumer  00008400020220607001006545475207793640004608002510NNN00
3946191SUPRADYN PRONATAL                           comp.laq.x 30           00000000NNBayer Consumer  00020910020220607002026541943907793640679905003010SNN00
3946192SUPRADYN PRONATAL                           comp.laq.x 90           00000000NNBayer Consumer  00053080020220607002026543105207793640547037009030SNN00
3949581TABCIN COMPUESTO                            caps.x 12               00000000NNBayer Consumer  00004620020220607012026541570207793640214977001210SNN00
3949582TABCIN COMPUESTO                            caps.x 20               00000000NNBayer Consumer  00007520020220607012026541570307793640214960002030SNN00
9947849TABCIN PLUS RAPIDA ACCION                   caps.blandas x 20       00000000NNBayer Consumer  00006540020220607001006544784907793640003328002010NNN00
9959489ADELGAZA-T                                  sobre x 1 x 2 g         00000000NNSan Ceferino    00000750020220606001106645948907798033168103000110NNN00
9957337CARAMELOS ENERGIZANTE                       Env.x 50 g.             00000000NNSan Ceferino    00001999020220606001106645733707798033167687000110NNN00
9957359CARAMELOS MIX INVIERNO                      caram.x 150 g.          00000000NNSan Ceferino    00003997520220606001106645735907798033160619000110NNN00
9957361CARAMELOS MIX PROPàLEO                      caram.x 150 g.          00000000NNSan Ceferino    00003997520220606001106645736107798033160640000110NNN00
9957367CARAMELOS MIX VERANO                        caram.x 150 g.          00000000NNSan Ceferino    00003997520220606001106645736707798033160602000110NNN00
9957338CARAMELOS PIEL DE NARANJ. Y ESTRÖAS         Env.x 50 g.             00000000NNSan Ceferino    00001999020220606001106645733807798033167700000110NNN00
9957339CARAMELOS SEDANTE                           Env.x 50 g.             00000000NNSan Ceferino    00001999020220606001106645733907798033167694000110NNN00
9957360CARAMELOS SOS INVIERNO                      caram.x 150 g.          00000000NNSan Ceferino    00003997520220606001106645736007798033160626000110NNN00
9957709CARAMELOS VIDA SANA                         Env.x 50 g.             00000000NNSan Ceferino    00001999020220606001106645770907798033167960000110NNN00
9942111CIRUELAS LIGHT+VITAMINA C  NUTRINAT         Laxante x 250 g         00000000NNSan Ceferino    00011887520220606001106644211107798033167304000110NNN00
9942112CIRUELAS+FIBRAS+VITAMINA C  NUTRINAT        Laxante x 250 g         00000000NNSan Ceferino    00011361520220606001106644211207798033167298000110NNN00
9957357CREMA ALGAS MARINAS                         Cr.x 200 g              00000000NNSan Ceferino    00003892520220606001106645735707798033167076000130NNN00
9957355CREMA CENTELLA ASIATICA                     cr.x 200 g              00000000NNSan Ceferino    00003892520220606001106645735507798033167106000110NNN00
9957353CREMA DE CALENDULAS                         cr.x 60 g               00000000NNSan Ceferino    00009468020220606001106645735307798033160014000110NNN00
9957354CREMA DE ORDE¥E                             pote x 220 g            00000000NNSan Ceferino    00007490520220606001106645735407798033167007000110NNN00
9958700ENERGITO VITAMINA C                         Frutilla past.mast.x 50g00000000NNSan Ceferino    00004197520220606001106645870007798033167977000110NNN00
9958701ENERGITO VITAMINA C                         Naranja past.mast.x 50g 00000000NNSan Ceferino    00004197520220606001106645870107798033167946000110NNN00
9957356GEL POST SOLAR                              gel x 220 g.            00000000NNSan Ceferino    00006638020220606001106645735607798033167052000110NNN00
9957368GRAGEAS MENTA Y EUCALIPTUS                  grageas x 30 g.         00000000NNSan Ceferino    00000531520220606001106645736807798033164198000110NNN00
9957714ILO CARAMELOS                               argentina x 250 g.      00000000NNSan Ceferino    00002419520220606001106645771407798033167953000110NNN00
9957717ILO CARAMELOS                               caf‚ x 250 g.           00000000NNSan Ceferino    00002419520220606001106645771707798033167915000110NNN00
9957333ILO CARAMELOS                               dulce de leche x 250 g. 00000000NNSan Ceferino    00002419520220606001106645733307798033167441000110NNN00
9957716ILO CARAMELOS                               eucalipto x 250 g.      00000000NNSan Ceferino    00002419520220606001106645771607798033167922000110NNN00
9957334ILO CARAMELOS                               frutilla x 250 g.       00000000NNSan Ceferino    00002419520220606001106645733407798033167458000110NNN00
9957335ILO CARAMELOS                               lim¢n x 250 g.          00000000NNSan Ceferino    00002419520220606001106645733507798033167434000110NNN00
9957336ILO CARAMELOS                               menta x 250 g.          00000000NNSan Ceferino    00002419520220606001106645733607798033167465000110NNN00
9957715ILO CARAMELOS                               naranja x 250 g.        00000000NNSan Ceferino    00002419520220606001106645771507798033167908000110NNN00
9957726MATERNITY ANTIPIOJOS                        loci¢n x 125cc.         00000000NNSan Ceferino    00003997620220606001106645772607798033160053000110NNN00
9957727MATERNITY ANTIPIOJOS                        sham. x 200 cc.         00000000NNSan Ceferino    00004418520220606001106645772707794072001623000110NNN00
9957728MATERNITY ANTIPIOJOS KIT                    loc.+shamp.+peine       00000000NNSan Ceferino    00010025520220606001106645772807798033160060000310NNN00
9957729MATERNITY REPELENTE                         env.x 125 cc.           00000000NNSan Ceferino    00007574520220606001106645772907798033167366000110NNN00
9957720NUTRACAR CARAMELOS                          Betacar.+Zanah.ext.x675g00000000NNSan Ceferino    00012834520220606001106645772007798033167892000110NNN00
9957711NUTRACAR CARAMELOS                          Energizante anan  x675g 00000000NNSan Ceferino    00012834520220606001106645771107798033168004067510NNN00
9957710NUTRACAR CARAMELOS                          Miel.Jeng.Lim.VitC x675g00000000NNSan Ceferino    00012834520220606001106645771007798033167991067510NNN00
9957712NUTRACAR CARAMELOS                          Piel nar.y estr¡as x675g00000000NNSan Ceferino    00012834520220606001106645771207798033168011067510NNN00
9957713NUTRACAR CARAMELOS                          Sedante sab.pomelo x675g00000000NNSan Ceferino    00012834520220606001106645771307798033168028067510NNN00
9958155NUTRACAR CARAMELOS                          aloe vera x 675 g       00000000NNSan Ceferino    00012834520220606001106645815507798033167861000110NNN00
9957340NUTRACAR CARAMELOS                          ambay+eucaliptus x 675 g00000000NNSan Ceferino    00012834520220606001106645734007798033167618000110NNN00
9957341NUTRACAR CARAMELOS                          arrope de miel x 675 g  00000000NNSan Ceferino    00012834520220606001106645734107798033167649000110NNN00
9957721NUTRACAR CARAMELOS                          centella asi tica x 675g00000000NNSan Ceferino    00012834520220606001106645772107798033167885000110NNN00
9957345NUTRACAR CARAMELOS                          eucaliptus d.acc.x 675 g00000000NNSan Ceferino    00012834520220606001106645734507798033167663000110NNN00
9957346NUTRACAR CARAMELOS                          eucaliptus+mentolx 675 g00000000NNSan Ceferino    00012834520220606001106645734607798033167601000110NNN00
9957725NUTRACAR CARAMELOS                          fumador x 675g          00000000NNSan Ceferino    00012834520220606001106645772507798033167830000110NNN00
9957342NUTRACAR CARAMELOS                          mentol+prop¢leo x 675 g 00000000NNSan Ceferino    00012834520220606001106645734207798033167625000110NNN00
9957343NUTRACAR CARAMELOS                          miel+naranja x 675 g    00000000NNSan Ceferino    00012834520220606001106645734307798033167656000110NNN00
9957347NUTRACAR CARAMELOS                          miel+prop¢leos x 675 g  00000000NNSan Ceferino    00012834520220606001106645734707798033167670000110NNN00
9957722NUTRACAR CARAMELOS                          nuez de kola x 675g     00000000NNSan Ceferino    00012834520220606001106645772207798033167878000110NNN00
9957344NUTRACAR CARAMELOS                          prop¢leos x 675 g       00000000NNSan Ceferino    00012834520220606001106645734407798033167632000110NNN00
9957723NUTRACAR CARAMELOS                          spirulina+fucus x 675g  00000000NNSan Ceferino    00012834520220606001106645772307798033167847000110NNN00
9957724NUTRACAR CARAMELOS                          tilo x 675g             00000000NNSan Ceferino    00012834520220606001106645772407798033167823000110NNN00
9957706NUTRINAT CERO AZUCAR CARAMELOS              C.verd+F.roj+Ste. x 50 g00000000NNSan Ceferino    00002419520220606001106645770607798033160473005010NNN00
9959677NUTRINAT CERO AZUCAR CARAMELOS              Cherry+Prop¢leo x 50 g  00000000NNSan Ceferino    00002419520220606001106645967707798033160480005010NNN00
9957705NUTRINAT CERO AZUCAR CARAMELOS              Mandarina+Stevia x 50 g 00000000NNSan Ceferino    00002419520220606001106645770507798033160497005010NNN00
9957708NUTRINAT CERO AZUCAR CARAMELOS              Mentol+Prop¢leos x 50 g 00000000NNSan Ceferino    00002419520220606001106645770807798033167489005010NNN00
9957707NUTRINAT CERO AZUCAR CARAMELOS              Prop¢leos x 50 g        00000000NNSan Ceferino    00002419520220606001106645770707798033167472005010NNN00
9957718NUTRINAT CHUPETINES                         dulc.leche+miel x 50 u. 00000000NNSan Ceferino    00007995520220606001106645771807798033163849005010NNN00
9957320NUTRINAT CLASICO CARAMELOS                  10hierbas+Prop¢leo x 50g00000000NNSan Ceferino    00001999020220606001106645732007798033160572005010NNN00
9939753NUTRINAT CLASICO CARAMELOS                  Aloe vera x 50 g        00000000NNSan Ceferino    00001999020220606001106643975307798033161098005010NNN00
9939754NUTRINAT CLASICO CARAMELOS                  Ambay+Eucaliptus x 50 g 00000000NNSan Ceferino    00001999020220606001106643975407798033160589005010NNN00
9957314NUTRINAT CLASICO CARAMELOS                  Ar ndanos x 50 g        00000000NNSan Ceferino    00001999020220606001106645731407798033160466005010NNN00
9939756NUTRINAT CLASICO CARAMELOS                  Betacaroteno x 50 g     00000000NNSan Ceferino    00001999020220606001106643975607798033163344005010NNN00
9957321NUTRINAT CLASICO CARAMELOS                  Cereza+Prop¢leo x 50 g  00000000NNSan Ceferino    00001999020220606001106645732107798033167755005010NNN00
9957331NUTRINAT CLASICO CARAMELOS                  Eucaliptus Dob.acc.x 50g00000000NNSan Ceferino    00001999020220606001106645733107798033160534005010NNN00
9957330NUTRINAT CLASICO CARAMELOS                  Eucaliptus+Prop¢leo x50g00000000NNSan Ceferino    00001999020220606001106645733007798033160435005010NNN00
9957326NUTRINAT CLASICO CARAMELOS                  Frambuesa+Prop¢leo x 50g00000000NNSan Ceferino    00001999020220606001106645732607798033167748005010NNN00
9957327NUTRINAT CLASICO CARAMELOS                  Fresa+Prop¢leo x 50 g   00000000NNSan Ceferino    00001999020220606001106645732707798033167731005010NNN00
9939764NUTRINAT CLASICO CARAMELOS                  Fumador x 50 g          00000000NNSan Ceferino    00001999020220606001106643976407798033161074005010NNN00
9957328NUTRINAT CLASICO CARAMELOS                  Jengibre+Prop¢leo x 50 g00000000NNSan Ceferino    00001999020220606001106645732807798033160503005010NNN00
9957315NUTRINAT CLASICO CARAMELOS                  Menta+Maracuy  x 50 g   00000000NNSan Ceferino    00001999020220606001106645731507798033160527005010NNN00
9957316NUTRINAT CLASICO CARAMELOS                  Menta+PomeloRos. x 50 g 00000000NNSan Ceferino    00001999020220606001106645731607798033160510005010NNN00
9957719NUTRINAT CLASICO CARAMELOS                  Mentol+Cereza+Prop. x50g00000000NNSan Ceferino    00001999020220606001106645771907798033167762005010NNN00
9939758NUTRINAT CLASICO CARAMELOS                  Mentol+Prop¢leo x 50 g  00000000NNSan Ceferino    00001999020220606001106643975807798033163313005010NNN00
9957329NUTRINAT CLASICO CARAMELOS                  Miel+Prop¢leo x 50 g    00000000NNSan Ceferino    00001999020220606001106645732907798033160442005010NNN00
9939761NUTRINAT CLASICO CARAMELOS                  Prop¢leo x 50 g         00000000NNSan Ceferino    00001999020220606001106643976107798033160565005010NNN00
9939763NUTRINAT CLASICO CARAMELOS                  Tilo x 50 g             00000000NNSan Ceferino    00001999020220606001106643976307798033161067005010NNN00
9939755NUTRINAT CLASICO CARAMELOS                  arrope de miel x 50 g   00000000NNSan Ceferino    00001999020220606001106643975507798033161104005010NNN00
9957332NUTRINAT CLASICO CARAMELOS                  coffecr.+coffegr. x 50 g00000000NNSan Ceferino    00001999020220606001106645733207798033160541005010NNN00
9939767NUTRINAT CLASICO CARAMELOS                  menta cristal+prop. x50g00000000NNSan Ceferino    00001999020220606001106643976707798033167557005010NNN00
9939768NUTRINAT CLASICO CARAMELOS                  menta roja+prop. x 50 g 00000000NNSan Ceferino    00001999020220606001106643976807798033163368005010NNN00
9957317NUTRINAT CLASICO CARAMELOS                  miel x 50 g             00000000NNSan Ceferino    00001999020220606001106645731707798033167502005010NNN00
9957318NUTRINAT CLASICO CARAMELOS                  miel+eucaliptus x 50 g  00000000NNSan Ceferino    00001999020220606001106645731807798033167519005010NNN00
9957319NUTRINAT CLASICO CARAMELOS                  miel+lim¢n x 50 g       00000000NNSan Ceferino    00001999020220606001106645731907798033167526005010NNN00
9957324NUTRINAT CLASICO CARAMELOS                  miel+menta x 50 g       00000000NNSan Ceferino    00001999020220606001106645732407798033167533005010NNN00
9939759NUTRINAT CLASICO CARAMELOS                  miel+naranja x 50 g     00000000NNSan Ceferino    00001999020220606001106643975907798033161111005010NNN00
9957325NUTRINAT CLASICO CARAMELOS                  miel+pomelo ros. x 50 g 00000000NNSan Ceferino    00001999020220606001106645732507798033167540005010NNN00
9939760NUTRINAT CLASICO CARAMELOS                  nuez de kola x 50 g     00000000NNSan Ceferino    00001999020220606001106643976007798033161050005010NNN00
9939762NUTRINAT CLASICO CARAMELOS                  spirulina+fucus x 50 g  00000000NNSan Ceferino    00001999020220606001106643976207798033163306005010NNN00
9939766NUTRINAT CLASICO CARAMELOS                  te rojo x 50 g          00000000NNSan Ceferino    00001999020220606001106643976607798033163399005010NNN00
9939765NUTRINAT CLASICO CARAMELOS                  te verde x 50 g         00000000NNSan Ceferino    00001999020220606001106643976507798033163382005010NNN00
9957362PASTILLAS DE GELATINA EUCALIPTUS            env.x 40 g.             00000000NNSan Ceferino    00000799520220606001106645736207798033160107000110NNN00
9957366PASTILLAS DE GELATINA FRUTALES              env x 40 g.             00000000NNSan Ceferino    00000799520220606001106645736607798033160558000110NNN00
9957363PASTILLAS DE GELATINA FRUTILLA              env x 40 g.             00000000NNSan Ceferino    00000799520220606001106645736307798033160114000110NNN00
9957364PASTILLAS DE GELATINA MENTA Y CHOCOLATE     env x 40 g.             00000000NNSan Ceferino    00000799520220606001106645736407798033160084000110NNN00
9957365PASTILLAS DE GELATINA MENTOL                env.x 40 g.             00000000NNSan Ceferino    00000799520220606001106645736507798033160091000110NNN00
9957351PEINE P/PIOJOS ACERO                        Barr Liendres C/Mango   00000000NNSan Ceferino    00009068520220606001106645735107798033160664000110NNN00
9957350PEINE P/PIOJOS ACERO                        Barr. Laser/mango Pl st 00000000NNSan Ceferino    00009068520220606001106645735007798033160657000110NNN00
9957349PEINE P/PIOJOS ACERO                        Total c/Barrera Lien.x 100000000NNSan Ceferino    00013308020220606001106645734907798033160688000110NNN00
9957348PEINE P/PIOJOS ACERO                        mango pl stico x 1      00000000NNSan Ceferino    00006748020220606001106645734807798033160077000110NNN00
9959491REGEN                                       sobre x 1 x 4 g         00000000NNSan Ceferino    00001250020220606001106645949107798033168080000110NNN00
9959490REGEN SOLAR                                 sobre x 1 x 4 g         00000000NNSan Ceferino    00001250020220606001106645949007798033168097000110NNN00
9959533SAPOLAN BRONCEADOR C/ACEITE DE COCO         pote x 220 g            00000000NNSan Ceferino    00006638020220606001106645953307798033167045000110NNN00
9959534SAPOLAN C/EXTR.ZANAHORIA                    pote x 220 g            00000000NNSan Ceferino    00006638020220606001106645953407798033167021000110NNN00
9957358SAPOLAN CLASICO C/ALOE VERA                 pote x 220 g            00000000NNSan Ceferino    00006638020220606001106645735807798033167038000110NNN00
9959488TE NATURAL                                  sobre x 1 x 5 g         00000000NNSan Ceferino    00000900020220606001106645948807798033168110000110NNN00
9942110TORTA DE FRUTAS NUTRINAT                    Laxante x 100 g         00000000NNSan Ceferino    00011204020220606001106644211007798033160039000110NNN00
9959105VITA C 1 G (+ZINC+VITD)                     sobre x 1 x 3.4 g       00000000NNSan Ceferino    00000650020220606001106645910507798033168134000110NNN00
5662421DIMSA                                       cr.x 15 g               00036838NNOxapharma       00016600020220606002007714130107798167580208000110SNN00
9956121LIDOXA                                      jalea x 20 x 25 ml      00000000NNOxapharma       00082350020220606002007715612107798167580789002090NNN00
9957684SULFACUR                                    cr.x 30 g x 20 u.       00000000NNOxapharma       0009400002022060600200771576840             002090NNN00
6407132SULFACUR                                    cr.x 400                00000000NNOxapharma       00046000020220606002007715846107798167581823000110NNN00
9956122SULFACUR                                    cr.x 400 g x 20 u.      00000000NNOxapharma       00820000020220606002007715612207798167580956002090NNN00
5351714ALMAXIMO                                    100 mg comp.rec.x 20    00000000NNSavant Consumer 00057200020220607A03008065804907798032937366002050NNN00
5351716ALMAXIMO                                    100 mg comp.x 2         00000000NNSavant Consumer 00005720020220607A03008063981407798032936154000210NNN00
5351684ALMAXIMO                                    50 mg comp.rec.x 20     00000000NNSavant Consumer 00046100020220607A03008065806107798032937359002050NNN00
5351686ALMAXIMO                                    50 mg comp.x 2          00000000NNSavant Consumer 00004610020220607A03008063981207798032936147000210NNN00
6493552ALMAXIMO 36                                 20 mg comp.rec.x 2      00000000NNSavant Consumer 00023890020220607002008065512107798032935843000210NNN00
6493354ALMAXIMO 36                                 20 mg comp.rec.x 8      00000000NNSavant Consumer 00067990020220607002008065512207798032935836000830NNN00
5692422ALMAXIMO MASTICABLE                         50 mg comp.mast.x 2     00000000NNSavant Consumer 00004610020220607A03008064123907798032936161000210NNN00
5692426ALMAXIMO MASTICABLE                         50 mg comp.mast.x 20    00000000NNSavant Consumer 00046100020220607A03008065806207798032937373002050NNN00
9952263AMINOCREM                                   GM cr.x 30 g            00000000NNSavant Consumer 00047958720220607001108065226307795354000204000110NNN00
9923352AMINOCREM                                   emuls. x 30 cc          00000000NNSavant Consumer 00040561420220607001108062335207795354820062000110NNN00
9945897AMINOCREM                                   emuls.d¡a x 30 cc       00000000NNSavant Consumer 00049191520220607001108064589707795354032106000110NNN00
9945898AMINOCREM                                   emuls.noche x 30 cc     00000000NNSavant Consumer 00049191520220607001108064589807795354033103000110NNN00
9939769AMINOCREM                                   pomo gel x 15 g         00000000NNSavant Consumer 00039328620220607001108063976907795354200024000110NNN00
0324666AMPLUS                                      fr.loc.x 60 ml          00000000NNSavant Consumer 00038095720220607002008061279307795354040002000110NNN00
0485004CISTINA B6                                  comp.rec.x 30           00000000NNSavant Consumer 00019602620220607002028062757907795354820147003010SNN00
9945143CISTINA B6                                  renovador x 150 cc      00000000NNSavant Consumer 00028232720220607001008064514307795354197003000110NNN00
9931574CISTINA B6                                  shamp.x 150 ml          00000000NNSavant Consumer 00029465620220607001028063157407795354820208000110NNN00
9934502CISTINA B6                                  ungueal x 10 g          00000000NNSavant Consumer 00023301320220607001008063450207795354820291000110NNN00
9950255FABOGESIC 400 RAPIDA ACCION                 caps.gelat.blanda x 10  00006715NNSavant Consumer 00002490020220607001008065025507798032935096001010NNN00
6165422FABOGESIC 600 RAPIDA ACCION                 caps.gelat.blanda x 10  00013148NNSavant Consumer 00005990020220607002028065025607798032935126001010SNN00
6165424FABOGESIC 600 RAPIDA ACCION                 caps.gelat.blanda x 20  00026374NNSavant Consumer 00011090020220607002008065025707798032935140002020SNN00
9958926FABOGESIC 600 RAPIDA ACCION                 caps.gelat.blanda x 50  00064557NNSavant Consumer 00027790020220607002008065892607798032937595005050NNN00
9956359FABOGESIC NI¥OS 2%                          susp.c/jeringa x 100 ml 00000000NNSavant Consumer 00003990020220607001008065635907798032936109000110NNN00
9956358FABOGESIC NI¥OS 4%                          susp.c/jeringa x 100 ml 00000000NNSavant Consumer 00007490020220607001008065635807798032936116000110NNN00
9946551FLUOROGEL BLANQUEADOR                       Menta cr.x 60 g         00000000NNSavant Consumer 00007490020220607001108064655107794066000267000110NNN00
9922408FLUOROGEL CHIQUITOS                         gel tutti fruti x 60 g  00019728NNSavant Consumer 00007290020220607001108062240807794066000144000110NNN00
9937319FLUOROGEL DIENTES SENSIBLES                 Menta gel x 60 g        00019728NNSavant Consumer 00007490020220607001108063731907794066000625000110NNN00
9909332FLUOROGEL ORIGINAL                          0.24% Menta gel x 60 g  00017450NNSavant Consumer 00007090020220607001108060933207794066000014000110NNN00
9909333FLUOROGEL ORIGINAL                          0.24% tutti frutti x 60g00017450NNSavant Consumer 00004090020220607001108060933307794066000021000110NNN00
9905905FLUOROGEL TERAPEUTICO                       1% Frut.gel x 60 g      00019950NNSavant Consumer 00006790020220607001008060590507794066000649000110NNN00
9905906FLUOROGEL TERAPEUTICO                       1% Ment.gel x 60 g      00019950NNSavant Consumer 00006790020220607001008060590607794066000168000110NNN00
9958511GRIPABEN ALLER                              c ps. x 10              00018461NNSavant Consumer 00004690020220607001008065851107798032937199001010NNN00
9950320GRIPABEN CARAMELOS                          caram.x 9               00000000NNSavant Consumer 00004190020220607001008065032007798032934730000910NNN00
9956066GRIPABEN NASAL                              gts.x 30 ml             00000000NNSavant Consumer 00007990020220607002008065606607798032936123000110NNN00
6335262GRIPABEN PLUS                               comp.rec.x 20           00000000NNSavant Consumer 00006190020220607002008065125507798032935492002010SNN00
9956067GRIPABEN T DESCONGESTIVO VL                 miel/lim¢n sob.x 5 x 5 g00000000NNSavant Consumer 00005690020220607001008065606707798032936024000510NNN00
9944907GRIPABEN T DESCONGESTIVO VL                 miel/lim¢n sob.x 50 x 5g00000000NNSavant Consumer 00057190020220607001008064490707798032934556005090NNN00
3140553LAURINOL PLUS                               shamp.x 240 ml          00000000NNSavant Consumer 00028232720220607002028060713207795354320005000110SNN00
6607971MINOTREX                                    100 mg comp.rec.x 30    00000000NNSavant Consumer 00039328620220607003008065834907798032937076003010NNN00
4140953MOTIONAL                                    pvo.x 400 g             00176913NNSavant Consumer 00079990020220607002028061822507798032935706000110SNN00
9957732MOTIONAL LAX                                5 mg c ps. x 20         00000000NNSavant Consumer 00008490020220607001008065773207798032936314002010NNN00
9957283N-FLUOROGEL JUNIOR                          gel Menta x 60 g        00000000NNSavant Consumer 00007190020220607001108065728307798032936772000110NNN00
9957284N-FLUOROGEL JUNIOR                          gel Tutti Frutti x 60 g 00000000NNSavant Consumer 00007190020220607001108065728407798032936765000110NNN00
9957285N-FLUOROGEL PROTECT                         gel x 60 g              00000000NNSavant Consumer 00007690020220607001108065728507798032936796000110NNN00
9922569PERIOBACTER                                 1% gel dent¡frico x 60 g00000000NNSavant Consumer 00007990020220607001008062256907794066000373000110NNN00
9953304PERIOBACTER                                 colut.x 200 ml          00000000NNSavant Consumer 00008590020220607001008065330407798032935522000120NNN00
9952265SEBOSOAP                                    jab¢n l¡q.x 100 ml      00000000NNSavant Consumer 00019109520220607001008065226507795354000198000110NNN00
9939770SEBOSOAP                                    jab¢n x 100 g           00000000NNSavant Consumer 00019602620220607001008063977007795354680024000110NNN00
6441681SEBOSTOP                                    5% pomo x 30 g          00000000NNSavant Consumer 00062876420220607002008065569407798032935812000110NNN00
9949513SILICOL                                     A+E cr.x 100 g          00000000NNSavant Consumer 00030698520220607007108064951307795354000112000110NNN00
9908755SILICOL                                     cr.x 100 g              00000000NNSavant Consumer 00034397120220607007128060875507795354000150000150NNN00
9953069SILICOL                                     gel x 15 g              00000000NNSavant Consumer 00054123020220607007108065306907795354000280000110NNN00
9939816TOSTOP ADULTOS                              0.16% jbe.x 120 ml      00027765NNSavant Consumer 00010190020220607001008063981607798032932224000110NNN00
6203183TOSTOP COMPLEX                              jbe.x 120 ml            00000000NNSavant Consumer 00009190020220607002028064901607798032934686000110SNN00
9947864TOSTOP FORTE                                0.20% jbe.x120 ml s/azuc00000000NNSavant Consumer 00010490020220607001008064786407798032934297000110NNN00
9939817TOSTOP MIEL                                 0.16% jbe.x 120 ml      00027765NNSavant Consumer 00008190020220607001008063981707798032932231000110NNN00
9947946TOSTOP NATURE                               7% jbe.x 100 ml         00020212NNSavant Consumer 00008990020220607001008064794607798032934310000110SNN00
9936147TOSTOP NI¥OS                                0.08% jbe.x 120 ml      00024986NNSavant Consumer 00010190020220607001008063614707798032932217000110NNN00
9908757UMASAM                                      jab.x 100 g             00000000NNSavant Consumer 00019602620220607007108060875707795354000167000110NNN00
2297171LEXOTANIL                                   3 mg comp.x 20          00020385NNBiopas Argentina00003971220220501403028231885717792371070111002010SNN00
2297172LEXOTANIL                                   3 mg comp.x 50          00040411NNBiopas Argentina00007928220220501403028230750917792371070128005050SNN00
3969201ROHYPNOL                                    1 mg comp.laq.x 30      00029724NNBiopas Argentina00008554920210921303028231628717795380001732003010SNN00
6394972CATIRA                                      120 mg c ps.x 14        00000000NNSynthon Bag¢    02337739520220606002008575308107790375003944001410NNN00
6355397CATIRA                                      240 mg c ps.x 60        00000000NNSynthon Bag¢    09350840220220606002008575250207790375003937006010NNN00
6272261FIBRONEURINA                                0.5 mg caps.x 28        00000000NNSynthon Bag¢    10388604120220606002008575223107790375003302002810NNN00
6520261FLUNISOL                                    14 mg comp.rec. x 28    00000000NNSynthon Bag¢    08559104920220606002008575545407798313410069002810NNN00
6282133INMUNOMAS NF                                22 mcg jga.pre.x 12     00000000NNSynthon Bag¢    14498167620220606003008575222807798163500125001211NNN00
6282263INMUNOMAS NF                                44 mcg jga.pre.x 12     00000000NNSynthon Bag¢    14817969420220606003008575222907798163500132001211NNN00
6442843POLIMUNOL                                   40 mg iny.x 12          00000000NNSynthon Bag¢    09090040320220606003008575346207798313410052001211NNN00
6353845ZILOBE                                      comp.rec.lib.prol.x 56  00000000NNSynthon Bag¢    01904834220220606002008575223207798313410045005610NNN00
9957958ACCELON                                     c ps.bl. x 30           00000000NNOlbia Pharma    00014858020220606001108865795800781159759215003010NNN00
9957957ACCELON                                     c ps.bl. x 60           00000000NNOlbia Pharma    00028585220220606001108865795700781159759222006020NNN00
9957956ACCELON                                     c ps.bl. x 90           00000000NNOlbia Pharma    00040088620220606001108865795600781159759239009050NNN00
9957947AUTUMS                                      Menta comp.mast. x 24   00000000NNOlbia Pharma    00008000520220606001108865794700781159759093002410NNN00
9957953AUTUMS                                      Menta comp.mast. x 96   00000000NNOlbia Pharma    00026668420220606001108865795300781159759109009630NNN00
9957954CARQUEJA TROP                               env. x 125 ml           00000000NNOlbia Pharma    00009912920220606001108865795400781159759123000130NNN00
9957955CARQUEJA TROP                               env. x 45 ml            00000000NNOlbia Pharma    00004860020220606001108865795500781159759116000110NNN00
9957951CIRULAXIA                                   comp. x 10              00000000NNOlbia Pharma    00004918720220606001108865795100781159759161001010NNN00
9957950CIRULAXIA                                   comp. x 20              00000000NNOlbia Pharma    00008974320220606001108865795000781159759178002030NNN00
9957949EKINOXIO                                    c ps.duras x 10         00000000NNOlbia Pharma    00005749520220606001108865794900781159759130001010NNN00
9957948EKINOXIO                                    c ps.duras x 20         00000000NNOlbia Pharma    00009531720220606001108865794800781159759147002020NNN00
